customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0013,Male,1,Yes,No,66,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,No,Bank transfer (automatic),63.62,4396.43,No
CUST0014,Male,1,Yes,Yes,58,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,No,Credit card (automatic),118.08,3415.73,No
CUST0015,Female,0,No,Yes,68,Yes,No,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,55.63,2714.52,No
CUST0016,Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),81.39,4804.47,No
CUST0017,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),51.17,617.38,No
CUST0018,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),119.06,3694.79,No
CUST0019,Female,1,No,Yes,30,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),64.51,659.24,No
CUST0020,Male,0,Yes,No,21,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),83.41,1921.59,No
CUST0021,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Two year,No,Bank transfer (automatic),32.67,2935.71,No
CUST0022,Male,0,No,Yes,66,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),93.3,3690.7,No
CUST0023,Female,1,No,No,53,No,Yes,DSL,No,Yes,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),46.92,38.51,No
CUST0024,Female,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Credit card (automatic),64.86,1317.78,No
CUST0025,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,One year,Yes,Electronic check,108.31,2700.24,No
CUST0026,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,117.06,2673.71,No
CUST0027,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Electronic check,62.46,3195.38,No
CUST0028,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,103.48,1533.19,No
CUST0029,Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,25.33,2711.84,No
CUST0030,Female,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,104.76,965.14,No
CUST0031,Male,0,Yes,Yes,34,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,82.95,950.62,No
CUST0032,Male,1,No,Yes,55,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,68.87,2891.29,No
CUST0033,Female,1,Yes,Yes,29,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,109.0,3433.65,No
CUST0034,Female,0,Yes,No,56,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,104.53,619.59,No
CUST0035,Female,0,No,Yes,46,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),49.69,631.49,No
CUST0036,Male,1,Yes,Yes,34,Yes,Yes,No,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,99.15,2835.21,No
CUST0037,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),29.95,1365.08,No
CUST0038,Male,0,No,No,7,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),102.28,1974.15,No
CUST0039,Male,0,Yes,No,25,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),87.55,2015.73,Yes
CUST0040,Male,0,Yes,Yes,70,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,28.79,909.19,Yes
CUST0041,Male,1,Yes,No,29,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,88.31,26.55,No
CUST0042,Male,0,No,No,6,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,78.05,4268.7,No
CUST0043,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,79.46,3580.71,No
CUST0044,Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),49.09,3458.88,No
CUST0045,Female,0,No,Yes,35,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,46.65,2741.6,No
CUST0046,Female,0,Yes,Yes,24,No,No phone service,No,Yes,No internet service,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),96.25,3510.83,No
CUST0047,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),45.68,4679.73,No
CUST0048,Male,0,No,No,0,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,64.63,3335.06,No
CUST0049,Female,0,Yes,No,14,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),89.48,1340.16,No
CUST0050,Female,0,No,No,36,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),27.96,2861.39,No
CUST0051,Male,0,No,No,12,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),79.45,2222.78,No
CUST0052,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Electronic check,78.94,2790.97,Yes
CUST0053,Male,0,No,Yes,4,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,88.42,2597.7,Yes
CUST0054,Female,0,No,Yes,59,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),56.99,4296.7,No
CUST0055,Male,1,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),64.9,3265.96,No
CUST0056,Female,0,Yes,Yes,35,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),53.0,960.02,Yes
CUST0057,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),100.82,333.82,No
CUST0058,Male,0,No,Yes,65,Yes,No,DSL,Yes,No,No,No internet service,No,No,Two year,No,Mailed check,33.06,2133.33,No
CUST0059,Male,0,Yes,Yes,62,Yes,No phone service,DSL,No internet service,No,No,No,No internet service,No,Two year,Yes,Credit card (automatic),116.3,97.74,No
CUST0060,Male,0,No,Yes,22,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Electronic check,83.48,1605.12,Yes
CUST0061,Male,0,No,No,8,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,One year,No,Electronic check,108.69,1852.75,No
CUST0062,Male,0,No,Yes,33,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),62.62,1890.43,No
CUST0063,Male,0,No,No,45,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,One year,No,Bank transfer (automatic),53.23,4897.16,No
CUST0064,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),110.07,1533.43,No
CUST0065,Male,0,No,Yes,29,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.89,1340.83,No
CUST0066,Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,No,Electronic check,31.71,664.32,No
CUST0067,Female,0,Yes,Yes,2,No,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Two year,No,Electronic check,49.93,2564.82,Yes
CUST0068,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),115.98,785.3,No
CUST0069,Female,1,No,No,59,No,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),83.31,3089.15,Yes
CUST0070,Female,0,No,No,44,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),75.42,792.7,No
CUST0071,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,90.54,2891.83,No
CUST0072,Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,One year,No,Mailed check,61.75,4134.82,No
CUST0073,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),95.81,231.77,No
CUST0074,Female,0,Yes,Yes,15,No,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),59.32,2110.34,No
CUST0075,Male,1,Yes,No,65,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No internet service,Two year,Yes,Electronic check,102.64,2316.02,No
CUST0076,Female,1,No,Yes,39,Yes,No phone service,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),46.73,3959.54,Yes
CUST0077,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No internet service,Month-to-month,No,Mailed check,47.75,2350.22,Yes
CUST0078,Female,1,Yes,Yes,33,No,No,DSL,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,72.24,2846.33,No
CUST0079,Male,0,Yes,No,15,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),63.08,3960.2,No
CUST0080,Female,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),84.81,2807.6,Yes
CUST0081,Male,0,Yes,Yes,65,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,One year,Yes,Credit card (automatic),56.43,1804.33,No
CUST0082,Female,1,Yes,No,65,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,Yes,Two year,No,Mailed check,43.06,447.49,No
CUST0083,Male,0,No,Yes,12,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,66.98,3654.98,No
CUST0084,Female,0,Yes,Yes,55,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),76.1,4358.27,No
CUST0085,Male,0,No,Yes,30,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.26,4850.92,No
CUST0086,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,75.67,4634.47,Yes
CUST0087,Female,0,No,Yes,38,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),51.93,3991.14,Yes
CUST0088,Male,0,No,Yes,66,No,No,No,No internet service,No,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,59.25,3224.49,No
CUST0089,Female,0,No,No,7,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),47.93,3911.67,No
CUST0090,Female,0,No,No,54,Yes,No,DSL,Yes,No internet service,Yes,No,No,No internet service,Two year,Yes,Credit card (automatic),113.14,2171.78,No
CUST0091,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,88.33,2981.99,Yes
CUST0092,Female,0,No,Yes,52,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,46.25,1756.53,No
CUST0093,Female,0,Yes,Yes,38,Yes,Yes,No,No,No,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,84.5,1647.01,Yes
CUST0094,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,104.86,3788.33,No
CUST0095,Female,1,Yes,No,16,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),60.16,2280.59,No
CUST0096,Female,0,No,Yes,29,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),103.0,1076.56,No
CUST0097,Female,0,No,Yes,52,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),35.44,1025.65,No
CUST0098,Female,0,Yes,No,12,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,102.28,4298.68,No
CUST0099,Female,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),74.03,3395.25,No
CUST0100,Male,0,Yes,No,18,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,42.3,2739.31,No
CUST0101,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,60.71,2016.67,Yes
CUST0102,Female,0,Yes,No,18,Yes,No phone service,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),118.8,2165.47,No
CUST0103,Female,0,Yes,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),98.36,306.03,No
CUST0104,Female,0,No,No,24,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Mailed check,77.51,2285.45,Yes
CUST0105,Female,0,No,Yes,30,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,31.52,3981.37,No
CUST0106,Female,0,Yes,Yes,54,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No,Two year,No,Mailed check,61.78,1952.17,Yes
CUST0107,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),46.31,1930.23,No
CUST0108,Female,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),27.1,98.27,No
CUST0109,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,One year,No,Credit card (automatic),74.22,2300.02,No
CUST0110,Male,0,No,Yes,9,No,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Two year,No,Electronic check,108.92,146.18,Yes
CUST0111,Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),87.56,2860.34,Yes
CUST0112,Male,0,Yes,No,53,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),44.97,2543.78,No
CUST0113,Female,0,No,No,51,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),77.36,4203.24,Yes
CUST0114,Female,0,No,No,19,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),114.32,2917.27,No
CUST0115,Male,1,No,No,31,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),92.29,1630.67,No
CUST0116,Female,1,Yes,Yes,13,No,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),88.95,2590.83,No
CUST0117,Male,0,Yes,Yes,49,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),116.82,3504.54,No
CUST0118,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),99.89,487.94,No
CUST0119,Female,0,No,No,52,Yes,No phone service,No,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Electronic check,33.66,3112.95,No
CUST0120,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),54.76,4584.8,Yes
CUST0121,Female,0,No,No,21,Yes,No,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Mailed check,116.51,1509.67,No
CUST0122,Male,0,Yes,Yes,29,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,68.97,3140.59,No
CUST0123,Female,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,31.16,4110.22,No
CUST0124,Male,0,Yes,No,3,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),65.86,2568.8,No
CUST0125,Male,0,Yes,No,58,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Two year,No,Credit card (automatic),89.7,3595.54,No
CUST0126,Female,0,No,Yes,7,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Mailed check,119.75,1568.83,Yes
CUST0127,Female,0,No,No,11,No,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Credit card (automatic),52.39,1544.17,No
CUST0128,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),71.41,3344.57,Yes
CUST0129,Female,0,Yes,No,33,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,107.97,3532.94,No
CUST0130,Female,0,No,Yes,48,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,55.53,4686.31,No
CUST0131,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Two year,No,Electronic check,30.93,1139.7,No
CUST0132,Male,1,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,114.89,2351.72,No
CUST0133,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.84,1267.56,No
CUST0134,Male,0,Yes,No,37,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),70.28,418.86,No
CUST0135,Male,0,No,Yes,49,Yes,No phone service,No,No,No,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),82.12,2028.09,Yes
CUST0136,Male,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,20.35,1882.92,No
CUST0137,Male,0,No,No,40,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),113.11,1366.76,Yes
CUST0138,Male,0,No,No,5,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,One year,No,Electronic check,56.15,1499.03,Yes
CUST0139,Male,0,Yes,Yes,68,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,59.69,1814.85,Yes
CUST0140,Male,0,Yes,No,43,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.41,4944.41,No
CUST0141,Female,0,No,No,63,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),57.82,3919.13,Yes
CUST0142,Male,0,Yes,No,28,No,Yes,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,100.39,375.58,No
CUST0143,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.0,4364.62,No
CUST0144,Female,0,Yes,Yes,10,Yes,No,No,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),113.58,3173.85,No
CUST0145,Female,0,Yes,No,64,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,60.32,4455.16,Yes
CUST0146,Male,1,No,No,18,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),90.87,1721.71,No
CUST0147,Male,0,No,Yes,8,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),70.72,2333.3,No
CUST0148,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.4,4483.21,No
CUST0149,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),91.25,1377.41,No
CUST0150,Female,0,Yes,No,43,Yes,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No,One year,No,Credit card (automatic),56.79,4579.19,No
CUST0151,Male,0,Yes,No,67,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,53.67,4145.93,Yes
CUST0152,Male,0,No,No,14,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),45.24,4903.18,No
CUST0153,Male,0,No,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),77.65,1634.8,Yes
CUST0154,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.38,1194.05,No
CUST0155,Male,0,Yes,Yes,48,Yes,No phone service,No,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),40.01,1667.72,No
CUST0156,Female,0,Yes,No,69,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),29.53,4774.16,No
CUST0157,Male,0,No,No,55,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,31.94,1678.71,Yes
CUST0158,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),98.31,2834.75,No
CUST0159,Male,0,No,No,36,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),55.01,2030.32,No
CUST0160,Female,0,Yes,Yes,16,Yes,No,DSL,Yes,No internet service,No,No,No,No internet service,One year,No,Credit card (automatic),42.44,1993.18,Yes
CUST0161,Male,0,No,Yes,57,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,55.28,983.03,No
CUST0162,Male,1,Yes,No,28,Yes,No,No,No,No internet service,Yes,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),84.53,2694.66,No
CUST0163,Female,0,No,Yes,32,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,74.68,4250.03,No
CUST0164,Female,0,Yes,No,59,No,Yes,DSL,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,94.36,266.44,No
CUST0165,Female,0,Yes,No,54,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,One year,No,Mailed check,53.91,4448.35,Yes
CUST0166,Male,0,Yes,Yes,9,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,65.2,3334.06,No
CUST0167,Female,0,No,No,46,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,30.2,3091.36,Yes
CUST0168,Male,0,Yes,No,22,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.31,3136.98,No
CUST0169,Male,0,No,Yes,20,Yes,Yes,No,Yes,Yes,No,No,No internet service,No,One year,Yes,Mailed check,66.23,1495.42,No
CUST0170,Female,0,No,No,12,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,50.16,2087.42,No
